Name,Platform,HasGuide,HasPlatinum,Difficulty,TimeToComplete,HasOnlineTrophies,Genre,Release(US),Guide
Sam & Max: Beyond Time and Space - Episode 1: Ice Station Santa,PS3(PSN),True,False,2,10,False,Adventure,2011-10-18,https://www.playstationtrophies.org/game/sam-and-max-beyond-time-and-space-ep1/guide/
Sam & Max: Beyond Time and Space - Episode 2: Moai Better Blues,PS3(PSN),True,False,3,10,False,Adventure,2011-10-18,https://www.playstationtrophies.org/game/sam-and-max-beyond-time-and-space-ep2/guide/
Sam & Max: Beyond Time and Space - Episode 3: Night of the Raving Dead,PS3(PSN),True,False,2,10,False,Adventure,2011-10-18,https://www.playstationtrophies.org/game/sam-and-max-beyond-time-and-space-ep3/guide/
Sam & Max: Beyond Time and Space - Episode 4:  Chariots of the Dogs,PS3(PSN),True,False,1,10,False,Adventure,2011-10-18,https://www.playstationtrophies.org/game/sam-and-max-beyond-time-and-space-ep4/guide/
Sam & Max: Beyond Time and Space - Episode 5: What's New Beelzebub?,PS3(PSN),True,False,2,10,False,Adventure,2011-10-18,https://www.playstationtrophies.org/game/sam-and-max-beyond-time-and-space-ep5/guide/
Samurai Warriors 4,PS3,False,True,n/a,n/a,n/a,Action,2014-10-21,https://www.playstationtrophies.org/game/samurai-warriors-4/guide/
Savage Moon,PS3(PSN),True,False,7,10,False,Strategy,2009-01-08,https://www.playstationtrophies.org/game/savage-moon-veterans-awards/guide/
Seasons After Fall,PS4,False,True,n/a,n/a,n/a,Adventure,n/a,https://www.playstationtrophies.org/game/seasons-after-fall/guide/
Sebastien Loeb Rally Evo,PS4,True,True,3,30,True,Racing,2016-03-15,https://www.playstationtrophies.org/game/sebastien-loeb-rally-evo/guide/
SEGA Bass Fishing,PS3(PSN),True,False,2,10,False,Sports and Fitness Sports and Fitness,2011-10-04,https://www.playstationtrophies.org/game/sega-bass-fishing/guide/
Shadow of the Beast,PS4,True,True,4,15,False,Adventure,2016-05-17,https://www.playstationtrophies.org/game/shadow-of-the-beast/guide/
Shadow of the Colossus,PS4,True,True,4,25,False,Action,2018-02-06,https://www.playstationtrophies.org/game/shadow-of-the-colossus-ps4/guide/
Shadow of the Tomb Raider,PS4,True,True,4,35,False,Action Adventure,2018-09-14,https://www.playstationtrophies.org/game/shadow-of-the-tomb-raider/guide/
Shadwen,PS4,True,True,2,15,False,Action Adventure,2016-05-17,https://www.playstationtrophies.org/game/shadwen/guide/
Shatter,PS3(PSN),True,False,7,35,False,Puzzle and Word,2009-07-23,https://www.playstationtrophies.org/game/shatter/guide/
Sherlock Holmes: The Devil's Daughter,PS4,True,True,1,15,False,Adventure,2016-10-25,https://www.playstationtrophies.org/game/sherlock-holmes-the-devils-daughter/guide/
Shiness: The Lightning Kingdom,PS4,False,True,n/a,n/a,n/a,RPG,2017-04-18,https://www.playstationtrophies.org/game/shiness-the-lightning-kingdom/guide/
Sid Meier’s Civilization Revolution,PS3(no_trophies),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Siegecraft Commander,PS4,False,True,n/a,n/a,n/a,Strategy,2017-01-17,https://www.playstationtrophies.org/game/siegecraft-commander-na/guide/
Silent Hill 2 HD,PS3,True,True,9,30,False,Action Adventure,2012-03-20,https://www.playstationtrophies.org/game/silent-hill-2-hd/guide/
Silent Hill 3 HD,PS3,True,True,5,12,False,Action Adventure,2012-03-20,https://www.playstationtrophies.org/game/silent-hill-3-hd/guide/
Sine Mora EX,PS4,True,False,6,50,False,Shmup,2017-08-08,https://www.playstationtrophies.org/game/sine-mora-ex/guide/
Siren,PS4,True,False,5,20,False,Action Adventure,n/a,https://www.playstationtrophies.org/game/siren/guide/
SIREN: Blood Curse,PS3(no_trophies),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
